customer_key,customer_id,customer_code,gender,age_group,loyalty_tier,signup_date,preferred_device,country
1,0,GUEST_UNREGISTERED,Unknown,Unknown,None,2011-02-17,Guest Checkout,United Kingdom
2,12346,CUST_12346,Male,36-50,Bronze,2009-08-19,Desktop Web,United Kingdom
3,12347,CUST_12347,Male,26-35,Bronze,2010-04-20,Mobile App,Iceland
4,12348,CUST_12348,Male,26-35,Bronze,2011-02-24,Mobile App,Finland
5,12349,CUST_12349,Female,51-65,Silver,2009-09-20,Desktop Web,Italy
6,12350,CUST_12350,Female,18-25,Bronze,2011-01-16,Mobile App,Norway
7,12352,CUST_12352,Female,36-50,Bronze,2010-07-10,Mobile App,Norway
8,12353,CUST_12353,Male,18-25,Bronze,2010-06-29,Mobile App,Bahrain
9,12354,CUST_12354,Male,18-25,Platinum,2010-05-08,Desktop Web,Spain
10,12355,CUST_12355,Male,36-50,Gold,2010-06-16,Desktop Web,Bahrain
11,12356,CUST_12356,Female,36-50,Bronze,2011-08-15,Mobile App,Portugal
12,12357,CUST_12357,Male,51-65,Bronze,2009-12-29,Desktop Web,Switzerland
13,12358,CUST_12358,Male,36-50,Bronze,2009-09-25,Mobile App,Austria
14,12359,CUST_12359,Female,65+,Silver,2009-10-25,Desktop Web,Cyprus
15,12360,CUST_12360,Female,18-25,Bronze,2010-12-22,Mobile App,Austria
16,12361,CUST_12361,Female,18-25,Silver,2010-12-09,Desktop Web,Belgium
17,12362,CUST_12362,Female,18-25,Silver,2011-02-25,Tablet,Belgium
18,12363,CUST_12363,Male,26-35,Gold,2009-01-07,Mobile Web,Unspecified
19,12364,CUST_12364,Female,36-50,Bronze,2011-09-05,Mobile App,Belgium
20,12365,CUST_12365,Female,36-50,Gold,2009-10-03,Mobile Web,Cyprus
21,12367,CUST_12367,Male,18-25,Gold,2009-12-01,Mobile App,Denmark
22,12370,CUST_12370,Female,51-65,Bronze,2010-08-23,Tablet,Cyprus
23,12371,CUST_12371,Female,51-65,Bronze,2011-04-01,Mobile App,Switzerland
24,12372,CUST_12372,Female,26-35,Bronze,2010-03-18,Mobile App,Denmark
25,12373,CUST_12373,Female,18-25,Bronze,2010-02-23,Mobile App,Austria
26,12374,CUST_12374,Male,26-35,Bronze,2011-01-17,Mobile App,Austria
27,12375,CUST_12375,Female,18-25,Silver,2009-09-15,Desktop Web,Finland
28,12377,CUST_12377,Female,18-25,Bronze,2010-09-27,Mobile Web,Switzerland
29,12378,CUST_12378,Male,36-50,Platinum,2010-09-05,Desktop Web,Switzerland
30,12379,CUST_12379,Female,26-35,Bronze,2010-11-26,Desktop Web,Belgium
31,12380,CUST_12380,Male,26-35,Platinum,2010-11-02,Desktop Web,Belgium
32,12381,CUST_12381,Female,65+,Bronze,2011-03-29,Mobile App,Norway
33,12383,CUST_12383,Female,36-50,Gold,2009-07-05,Mobile App,Belgium
