date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend
20101201,2010-12-01,2010,4,12,December,1,3,Wednesday,False
20101202,2010-12-02,2010,4,12,December,2,4,Thursday,False
20101203,2010-12-03,2010,4,12,December,3,5,Friday,False
20101204,2010-12-04,2010,4,12,December,4,6,Saturday,True
20101205,2010-12-05,2010,4,12,December,5,7,Sunday,True
20101206,2010-12-06,2010,4,12,December,6,1,Monday,False
20101207,2010-12-07,2010,4,12,December,7,2,Tuesday,False
20101208,2010-12-08,2010,4,12,December,8,3,Wednesday,False
20101209,2010-12-09,2010,4,12,December,9,4,Thursday,False
20101210,2010-12-10,2010,4,12,December,10,5,Friday,False
20101211,2010-12-11,2010,4,12,December,11,6,Saturday,True
20101212,2010-12-12,2010,4,12,December,12,7,Sunday,True
20101213,2010-12-13,2010,4,12,December,13,1,Monday,False
20101214,2010-12-14,2010,4,12,December,14,2,Tuesday,False
20101215,2010-12-15,2010,4,12,December,15,3,Wednesday,False
20101216,2010-12-16,2010,4,12,December,16,4,Thursday,False
20101217,2010-12-17,2010,4,12,December,17,5,Friday,False
20101218,2010-12-18,2010,4,12,December,18,6,Saturday,True
20101219,2010-12-19,2010,4,12,December,19,7,Sunday,True
20101220,2010-12-20,2010,4,12,December,20,1,Monday,False
20101221,2010-12-21,2010,4,12,December,21,2,Tuesday,False
20101222,2010-12-22,2010,4,12,December,22,3,Wednesday,False
20101223,2010-12-23,2010,4,12,December,23,4,Thursday,False
20101224,2010-12-24,2010,4,12,December,24,5,Friday,False
20101225,2010-12-25,2010,4,12,December,25,6,Saturday,True
20101226,2010-12-26,2010,4,12,December,26,7,Sunday,True
20101227,2010-12-27,2010,4,12,December,27,1,Monday,False
20101228,2010-12-28,2010,4,12,December,28,2,Tuesday,False
20101229,2010-12-29,2010,4,12,December,29,3,Wednesday,False
20101230,2010-12-30,2010,4,12,December,30,4,Thursday,False
20101231,2010-12-31,2010,4,12,December,31,5,Friday,False
20110101,2011-01-01,2011,1,1,January,1,6,Saturday,True
20110102,2011-01-02,2011,1,1,January,2,7,Sunday,True
20110103,2011-01-03,2011,1,1,January,3,1,Monday,False
