product_key,stock_code,description,category,unit_price_nominal
1,10002,INFLATABLE POLITICAL GLOBE,Gifts & Accessories,0.85
2,10080,GROOVY CACTUS INFLATABLE,Gifts & Accessories,0.39
3,10120,DOGGY RUBBER,Gifts & Accessories,0.21
4,10123C,HEARTS WRAPPING TAPE,Seasonal & Festive,0.65
5,10124A,SPOTS ON RED BOOKCOVER TAPE,Gifts & Accessories,0.42
6,10124G,ARMY CAMO BOOKCOVER TAPE,Gifts & Accessories,0.42
7,10125,MINI FUNKY DESIGN TAPES,Home Decor & Furnishing,0.85
8,10133,COLOURING PENCILS BROWN TUBE,Stationery & Office,0.79
9,10135,COLOURING PENCILS BROWN TUBE,Stationery & Office,1.25
10,11001,ASSTD DESIGN RACING CAR PEN,Stationery & Office,1.69
11,15030,FAN BLACK FRAME,Home Decor & Furnishing,0.29
12,15034,PAPER POCKET TRAVELING FAN,Bags & Travel,0.14
13,15036,ASSORTED COLOURS SILK FAN,Gifts & Accessories,0.83
14,15039,SANDALWOOD FAN,Gifts & Accessories,1.24
15,15044A,PINK PAPER PARASOL,Stationery & Office,2.95
16,15044B,BLUE PAPER PARASOL,Stationery & Office,2.95
17,15044C,PURPLE PAPER PARASOL,Stationery & Office,2.95
18,15044D,RED PAPER PARASOL,Stationery & Office,2.95
19,15056BL,EDWARDIAN PARASOL BLACK,Gifts & Accessories,5.95
20,15056N,EDWARDIAN PARASOL NATURAL,Gifts & Accessories,5.95
21,15056P,EDWARDIAN PARASOL PINK,Gifts & Accessories,5.95
22,15058A,BLUE POLKADOT GARDEN PARASOL,Gifts & Accessories,7.95
23,15058B,PINK POLKADOT GARDEN PARASOL,Gifts & Accessories,10.79
24,15058C,ICE CREAM DESIGN GARDEN PARASOL,Home Decor & Furnishing,10.79
25,15060B,FAIRY CAKE DESIGN UMBRELLA,Home Decor & Furnishing,3.75
26,16008,SMALL FOLDING SCISSOR(POINTED EDGE),Gifts & Accessories,0.12
27,16010,FOLDING CAMPING SCISSOR W/KNIF & S,Gifts & Accessories,0.12
28,16011,ANIMAL STICKERS,Stationery & Office,0.21
29,16012,FOOD/DRINK SPONGE STICKERS,Stationery & Office,0.21
30,16014,SMALL CHINESE STYLE SCISSOR,Gifts & Accessories,0.42
31,16015,MEDIUM CHINESE STYLE SCISSOR,Gifts & Accessories,0.5
32,16016,LARGE CHINESE STYLE SCISSOR,Gifts & Accessories,0.85
33,16020C,CLEAR STATIONERY BOX SET,Stationery & Office,0.83
34,16033,MINI HIGHLIGHTER PENS,Seasonal & Festive,0.12
35,16043,POP ART PUSH DOWN RUBBER,Gifts & Accessories,0.12
36,16045,POPART WOODEN PENCILS ASST,Stationery & Office,0.04
37,16046,TEATIME PEN CASE & PENS,Kitchen & Dining,0.85
38,16048,TEATIME ROUND PENCIL SHARPENER,Kitchen & Dining,0.12
39,16049,TEATIME GEL PENS ASST,Kitchen & Dining,0.12
40,16052,TEATIME PUSH DOWN RUBBER,Kitchen & Dining,0.83
41,16054,POPART RECT PENCIL SHARPENER ASST,Stationery & Office,0.12
42,16151A,FLOWERS HANDBAG BLUE AND ORANGE,Bags & Travel,1.25
43,16156L,"WRAP, CAROUSEL",Gifts & Accessories,0.42
44,16156S,WRAP PINK FAIRY CAKES,Gifts & Accessories,0.42
45,16161G,WRAP BAD HAIR DAY,Gifts & Accessories,0.1
46,16161M,WRAP  PINK FLOCK,Gifts & Accessories,0.42
47,16161P,WRAP ENGLISH ROSE,Gifts & Accessories,0.42
48,16161U,WRAP SUKI AND FRIENDS,Gifts & Accessories,0.42
49,16162L,THE KING GIFT BAG,Bags & Travel,0.65
50,16162M,THE KING GIFT BAG 25X24X12CM,Bags & Travel,0.42
51,16168M,FUNKY MONKEY GIFT BAG MEDIUM,Bags & Travel,0.83
52,16169E,WRAP 50'S  CHRISTMAS,Seasonal & Festive,0.42
53,16169K,WRAP FOLK ART,Gifts & Accessories,0.42
54,16169M,WRAP DAISY CARPET,Gifts & Accessories,0.42
55,16169N,WRAP BLUE RUSSIAN FOLKART,Gifts & Accessories,0.42
56,16169P,WRAP GREEN RUSSIAN FOLKART,Gifts & Accessories,0.42
