retention_key,customer_key,date_key,cohort_month,order_sequence,days_since_prior_order,order_value,is_repeat_customer
1,3,20101207,2010-12,1,0,711.79,False
2,3,20110126,2010-12,2,49,475.39,True
3,3,20110407,2010-12,3,70,636.25,True
4,3,20110609,2010-12,4,63,382.52,True
5,3,20110802,2010-12,5,53,584.91,True
6,3,20111031,2010-12,6,90,1294.32,True
7,3,20111207,2010-12,7,37,224.82,True
8,4,20101216,2010-12,1,0,892.8,False
9,4,20110125,2010-12,2,39,227.44,True
10,4,20110405,2010-12,3,70,367.0,True
11,4,20110925,2010-12,4,173,310.0,True
12,5,20111121,2011-11,1,0,1757.55,False
13,6,20110202,2011-02,1,0,334.4,False
14,7,20110216,2011-02,1,0,296.5,False
15,7,20110301,2011-02,2,13,144.35,True
16,7,20110301,2011-02,3,0,840.3,True
17,7,20110317,2011-02,4,16,120.33,True
18,7,20110322,2011-02,5,5,160.33,True
19,7,20110920,2011-02,6,181,366.25,True
20,7,20110928,2011-02,7,8,266.25,True
21,7,20111103,2011-02,8,35,311.73,True
22,8,20110519,2011-05,1,0,89.0,False
23,9,20110421,2011-04,1,0,1079.4,False
24,10,20110509,2011-05,1,0,459.4,False
25,11,20110118,2011-01,1,0,2271.62,False
26,11,20110408,2011-01,2,80,481.46,True
27,11,20111117,2011-01,3,222,58.35,True
28,12,20111106,2011-11,1,0,6207.67,False
29,13,20110712,2011-07,1,0,484.86,False
30,13,20111208,2011-07,2,149,683.2,True
31,14,20110112,2011-01,1,0,547.5,False
32,14,20110207,2011-01,2,26,1838.91,True
33,14,20110603,2011-01,3,115,1109.32,True
34,14,20111013,2011-01,4,132,2814.3,True
35,15,20110523,2011-05,1,0,1083.58,False
36,15,20110819,2011-05,2,88,534.7,True
37,15,20111018,2011-05,3,60,1043.78,True
38,16,20110225,2011-02,1,0,189.9,False
39,17,20110217,2011-02,1,0,479.1,False
40,17,20110428,2011-02,2,69,495.24,True
41,17,20110707,2011-02,3,70,303.76,True
42,17,20110811,2011-02,4,35,469.25,True
43,17,20110928,2011-02,5,47,829.99,True
44,17,20111011,2011-02,6,13,355.8,True
45,17,20111026,2011-02,7,14,786.95,True
46,17,20111028,2011-02,8,1,499.16,True
47,17,20111104,2011-02,9,6,477.94,True
48,17,20111206,2011-02,10,32,529.04,True
49,18,20110411,2011-04,1,0,299.1,False
50,18,20110822,2011-04,2,132,252.9,True
51,19,20110819,2011-08,1,0,623.92,False
52,19,20110922,2011-08,2,34,79.8,True
53,19,20111030,2011-08,3,37,299.06,True
54,19,20111202,2011-08,4,32,310.32,True
55,20,20110221,2011-02,1,0,320.69,False
56,20,20110221,2011-02,2,0,320.69,True
57,21,20111205,2011-12,1,0,168.9,False
58,22,20101214,2010-12,1,0,1587.07,False
59,22,20101217,2010-12,2,2,277.2,True
60,22,20110310,2010-12,3,83,938.39,True
61,22,20111019,2010-12,4,223,739.28,True
62,23,20111011,2011-10,1,0,1527.96,False
63,23,20111026,2011-10,2,14,360.0,True
64,24,20110216,2011-02,1,0,399.22,False
65,24,20110511,2011-02,2,83,515.7,True
66,24,20110929,2011-02,3,141,383.12,True
67,25,20110201,2011-02,1,0,364.6,False
68,26,20111114,2011-11,1,0,742.93,False
69,27,20110902,2011-09,1,0,230.3,False
70,27,20111129,2011-09,2,87,227.2,True
71,28,20101220,2010-12,1,0,1001.52,False
72,28,20110128,2010-12,2,39,626.6,True
73,29,20110802,2011-08,1,0,4008.62,False
74,30,20110622,2011-06,1,0,459.84,False
75,30,20110919,2011-06,2,88,392.4,True
76,31,20110607,2011-06,1,0,607.55,False
77,31,20110922,2011-06,2,107,626.01,True
78,31,20111014,2011-06,3,21,450.86,True
79,31,20111118,2011-06,4,34,1040.39,True
80,32,20110812,2011-08,1,0,1268.74,False
81,32,20111011,2011-08,2,60,6.0,True
82,32,20111012,2011-08,3,0,4.5,True
83,32,20111106,2011-08,4,25,419.06,True
84,32,20111205,2011-08,5,28,147.01,True
85,33,20101222,2010-12,1,0,600.72,False
86,33,20110112,2010-12,2,20,651.16,True
87,33,20110314,2010-12,3,60,357.07,True
88,33,20110415,2010-12,4,32,142.16,True
89,33,20110608,2010-12,5,53,99.45,True
90,34,20110810,2011-08,1,0,292.69,False
91,34,20111111,2011-08,2,92,292.58,True
92,35,20101208,2010-12,1,0,258.9,False
93,35,20110106,2010-12,2,29,143.0,True
94,36,20110117,2011-01,1,0,431.3,False
95,36,20110207,2011-01,2,21,124.05,True
96,36,20110309,2011-01,3,30,210.9,True
97,36,20110714,2011-01,4,126,902.09,True
98,36,20110925,2011-01,5,72,825.92,True
99,36,20111124,2011-01,6,60,286.4,True
100,37,20110921,2011-09,1,0,549.84,False
