sales_key,invoice_no,customer_key,product_key,geography_key,date_key,invoice_timestamp,quantity,unit_price,total_amount,is_cancelled,batch_id
1,536365,4050,3323,36,20101201,2010-12-01 08:26:00,6,2.55,15.3,False,full_historical_baseline
2,536365,4050,2714,36,20101201,2010-12-01 08:26:00,6,3.39,20.34,False,full_historical_baseline
3,536365,4050,2922,36,20101201,2010-12-01 08:26:00,8,2.75,22.0,False,full_historical_baseline
4,536365,4050,2869,36,20101201,2010-12-01 08:26:00,6,3.39,20.34,False,full_historical_baseline
5,536365,4050,2868,36,20101201,2010-12-01 08:26:00,6,3.39,20.34,False,full_historical_baseline
6,536365,4050,1623,36,20101201,2010-12-01 08:26:00,2,7.65,15.3,False,full_historical_baseline
7,536365,4050,770,36,20101201,2010-12-01 08:26:00,6,4.25,25.5,False,full_historical_baseline
8,536366,4050,1508,36,20101201,2010-12-01 08:28:00,6,1.85,11.1,False,full_historical_baseline
9,536366,4050,1507,36,20101201,2010-12-01 08:28:00,6,1.85,11.1,False,full_historical_baseline
10,536367,542,3138,36,20101201,2010-12-01 08:34:00,32,1.69,54.08,False,full_historical_baseline
11,536367,542,1616,36,20101201,2010-12-01 08:34:00,6,2.1,12.6,False,full_historical_baseline
12,536367,542,1619,36,20101201,2010-12-01 08:34:00,6,2.1,12.6,False,full_historical_baseline
13,536367,542,1620,36,20101201,2010-12-01 08:34:00,8,3.75,30.0,False,full_historical_baseline
14,536367,542,1208,36,20101201,2010-12-01 08:34:00,6,1.65,9.9,False,full_historical_baseline
15,536367,542,3194,36,20101201,2010-12-01 08:34:00,6,4.25,25.5,False,full_historical_baseline
16,536367,542,1498,36,20101201,2010-12-01 08:34:00,3,4.95,14.85,False,full_historical_baseline
17,536367,542,1497,36,20101201,2010-12-01 08:34:00,2,9.95,19.9,False,full_historical_baseline
18,536367,542,786,36,20101201,2010-12-01 08:34:00,3,5.95,17.85,False,full_historical_baseline
19,536367,542,787,36,20101201,2010-12-01 08:34:00,3,5.95,17.85,False,full_historical_baseline
20,536367,542,798,36,20101201,2010-12-01 08:34:00,4,7.95,31.8,False,full_historical_baseline
21,536367,542,2692,36,20101201,2010-12-01 08:34:00,4,7.95,31.8,False,full_historical_baseline
