customer_key,customer_id,recency_days,frequency,monetary_total,r_score,f_score,m_score,rfm_score,customer_segment,loyalty_tier,last_order_date
3,12347,2,7,4310.0,5,5,5,555,Champions,Bronze,2011-12-07
4,12348,75,4,1797.24,2,4,4,244,At Risk - Needs Attention,Bronze,2011-09-25
5,12349,19,1,1757.55,4,1,4,414,New / Potential Loyalists,Silver,2011-11-21
6,12350,310,1,334.4,1,1,2,112,Lost Customers,Bronze,2011-02-02
7,12352,36,8,2506.04,3,5,5,355,Loyal Customers,Bronze,2011-11-03
8,12353,204,1,89.0,1,1,1,111,Lost Customers,Bronze,2011-05-19
9,12354,232,1,1079.4,1,1,4,114,At Risk - Needs Attention,Platinum,2011-04-21
10,12355,214,1,459.4,1,1,2,112,Lost Customers,Gold,2011-05-09
11,12356,23,3,2811.43,4,3,5,435,Loyal Customers,Bronze,2011-11-17
12,12357,33,1,6207.67,4,1,5,415,New / Potential Loyalists,Bronze,2011-11-06
13,12358,2,2,1168.06,5,2,4,524,New / Potential Loyalists,Bronze,2011-12-08
14,12359,58,4,6310.03,3,4,5,345,Loyal Customers,Silver,2011-10-13
15,12360,52,3,2662.06,3,3,5,335,Loyal Customers,Bronze,2011-10-18
16,12361,287,1,189.9,1,1,1,111,Lost Customers,Silver,2011-02-25
17,12362,3,10,5226.23,5,5,5,555,Champions,Silver,2011-12-06
18,12363,110,2,552.0,2,2,3,223,At Risk - Needs Attention,Gold,2011-08-22
19,12364,8,4,1313.1,5,4,4,544,Champions,Bronze,2011-12-02
20,12365,291,2,641.38,1,2,3,123,At Risk - Needs Attention,Gold,2011-02-21
21,12367,4,1,168.9,5,1,1,511,New / Potential Loyalists,Gold,2011-12-05
22,12370,51,4,3541.94,3,4,5,345,Loyal Customers,Bronze,2011-10-19
23,12371,45,2,1887.96,3,2,4,324,Promising Customers,Bronze,2011-10-26
24,12372,72,3,1298.04,3,3,4,334,Loyal Customers,Bronze,2011-09-29
25,12373,311,1,364.6,1,1,2,112,Lost Customers,Bronze,2011-02-01
26,12374,25,1,742.93,4,1,3,413,New / Potential Loyalists,Bronze,2011-11-14
27,12375,11,2,457.5,5,2,2,522,New / Potential Loyalists,Silver,2011-11-29
28,12377,315,2,1628.12,1,2,4,124,At Risk - Needs Attention,Bronze,2011-01-28
29,12378,130,1,4008.62,2,1,5,215,At Risk - Needs Attention,Platinum,2011-08-02
30,12379,82,2,852.24,2,2,3,223,At Risk - Needs Attention,Bronze,2011-09-19
31,12380,22,4,2724.81,4,4,5,445,Champions,Platinum,2011-11-18
32,12381,5,5,1845.31,5,4,4,544,Champions,Bronze,2011-12-05
33,12383,185,5,1850.56,1,4,4,144,At Risk - Needs Attention,Gold,2011-06-08
34,12384,29,2,585.27,4,2,3,423,New / Potential Loyalists,Bronze,2011-11-11
