mart_id,date_key,year_month,country_name,total_revenue,total_orders,total_units_sold,average_order_value,unique_customers,cancelled_orders_count
1,20101201,2010-12,Australia,358.25,1,107,358.25,1,0
2,20101201,2010-12,Eire,555.38,2,243,277.69,1,0
3,20101201,2010-12,France,855.86,1,449,855.86,1,0
4,20101201,2010-12,Germany,139.18,2,117,69.59,2,14
5,20101201,2010-12,Netherlands,192.6,1,97,192.6,1,0
6,20101201,2010-12,Norway,1919.14,1,1852,1919.14,1,0
7,20101201,2010-12,United Kingdom,54431.15,125,23770,435.45,92,12
8,20101202,2010-12,Eire,15.0,2,4,7.5,2,2
9,20101202,2010-12,Germany,138.35,2,146,69.18,2,1
10,20101202,2010-12,United Kingdom,45934.97,161,20827,285.31,114,41
11,20101203,2010-12,Belgium,346.1,1,528,346.1,1,0
12,20101203,2010-12,Eire,2576.85,3,2575,858.95,3,0
13,20101203,2010-12,France,425.38,2,239,212.69,2,0
14,20101203,2010-12,Germany,555.53,3,170,185.18,3,0
15,20101203,2010-12,Italy,427.8,1,164,427.8,1,0
16,20101203,2010-12,Poland,248.16,1,140,248.16,1,0
17,20101203,2010-12,Portugal,131.8,1,65,131.8,1,0
18,20101203,2010-12,Spain,620.0,1,400,620.0,1,0
19,20101203,2010-12,Switzerland,303.4,1,110,303.4,1,0
20,20101203,2010-12,United Kingdom,39940.36,61,11476,654.76,43,14
21,20101205,2010-12,France,1526.92,1,611,1526.92,1,0
22,20101205,2010-12,Germany,2476.69,4,1361,619.17,3,0
23,20101205,2010-12,Japan,320.08,1,196,320.08,1,0
24,20101205,2010-12,Lithuania,1598.06,3,622,532.69,1,0
25,20101205,2010-12,United Kingdom,25051.88,86,13396,291.3,71,16
26,20101206,2010-12,Eire,1182.5,3,614,394.17,1,0
27,20101206,2010-12,Germany,162.44,2,85,81.22,2,1
28,20101206,2010-12,Italy,-17.0,1,-2,-17.0,1,1
29,20101206,2010-12,Portugal,129.4,1,53,129.4,1,0
30,20101206,2010-12,United Kingdom,52196.53,113,20570,461.92,86,47
31,20101207,2010-12,France,1448.98,2,752,724.49,2,0
