customer_id,customer_code,gender,age_group,loyalty_tier,signup_date,preferred_device,country
0,GUEST_UNREGISTERED,Unknown,Unknown,None,2011-02-17,Guest Checkout,United Kingdom
12346,CUST_12346,Male,36-50,Bronze,2009-08-19,Desktop Web,United Kingdom
12347,CUST_12347,Male,26-35,Bronze,2010-04-20,Mobile App,Iceland
12348,CUST_12348,Male,26-35,Bronze,2011-02-24,Mobile App,Finland
12349,CUST_12349,Female,51-65,Silver,2009-09-20,Desktop Web,Italy
12350,CUST_12350,Female,18-25,Bronze,2011-01-16,Mobile App,Norway
12352,CUST_12352,Female,36-50,Bronze,2010-07-10,Mobile App,Norway
12353,CUST_12353,Male,18-25,Bronze,2010-06-29,Mobile App,Bahrain
12354,CUST_12354,Male,18-25,Platinum,2010-05-08,Desktop Web,Spain
12355,CUST_12355,Male,36-50,Gold,2010-06-16,Desktop Web,Bahrain
12356,CUST_12356,Female,36-50,Bronze,2011-08-15,Mobile App,Portugal
12357,CUST_12357,Male,51-65,Bronze,2009-12-29,Desktop Web,Switzerland
12358,CUST_12358,Male,36-50,Bronze,2009-09-25,Mobile App,Austria
12359,CUST_12359,Female,65+,Silver,2009-10-25,Desktop Web,Cyprus
12360,CUST_12360,Female,18-25,Bronze,2010-12-22,Mobile App,Austria
12361,CUST_12361,Female,18-25,Silver,2010-12-09,Desktop Web,Belgium
12362,CUST_12362,Female,18-25,Silver,2011-02-25,Tablet,Belgium
12363,CUST_12363,Male,26-35,Gold,2009-01-07,Mobile Web,Unspecified
12364,CUST_12364,Female,36-50,Bronze,2011-09-05,Mobile App,Belgium
12365,CUST_12365,Female,36-50,Gold,2009-10-03,Mobile Web,Cyprus
12367,CUST_12367,Male,18-25,Gold,2009-12-01,Mobile App,Denmark
12370,CUST_12370,Female,51-65,Bronze,2010-08-23,Tablet,Cyprus
12371,CUST_12371,Female,51-65,Bronze,2011-04-01,Mobile App,Switzerland
12372,CUST_12372,Female,26-35,Bronze,2010-03-18,Mobile App,Denmark
12373,CUST_12373,Female,18-25,Bronze,2010-02-23,Mobile App,Austria
12374,CUST_12374,Male,26-35,Bronze,2011-01-17,Mobile App,Austria
12375,CUST_12375,Female,18-25,Silver,2009-09-15,Desktop Web,Finland
12377,CUST_12377,Female,18-25,Bronze,2010-09-27,Mobile Web,Switzerland
12378,CUST_12378,Male,36-50,Platinum,2010-09-05,Desktop Web,Switzerland
12379,CUST_12379,Female,26-35,Bronze,2010-11-26,Desktop Web,Belgium
12380,CUST_12380,Male,26-35,Platinum,2010-11-02,Desktop Web,Belgium
12381,CUST_12381,Female,65+,Bronze,2011-03-29,Mobile App,Norway
12383,CUST_12383,Female,36-50,Gold,2009-07-05,Mobile App,Belgium
12384,CUST_12384,Male,51-65,Bronze,2009-02-04,Mobile App,Switzerland
12386,CUST_12386,Male,18-25,Bronze,2011-10-21,Mobile App,Australia
12388,CUST_12388,Male,26-35,Gold,2009-07-10,Mobile App,Australia
12390,CUST_12390,Female,36-50,Bronze,2010-05-05,Mobile App,Belgium
12391,CUST_12391,Female,18-25,Silver,2010-11-14,Mobile App,Cyprus
12393,CUST_12393,Male,18-25,Silver,2010-04-27,Mobile App,Australia
12394,CUST_12394,Female,36-50,Silver,2011-07-02,Mobile Web,Belgium
12395,CUST_12395,Female,36-50,Silver,2010-08-29,Mobile App,Belgium
12397,CUST_12397,Female,26-35,Silver,2009-04-27,Desktop Web,Belgium
12398,CUST_12398,Female,26-35,Bronze,2011-04-14,Desktop Web,Switzerland
12399,CUST_12399,Male,26-35,Silver,2009-07-05,Desktop Web,Belgium
12401,CUST_12401,Female,18-25,Gold,2010-01-12,Mobile App,Belgium
12402,CUST_12402,Male,26-35,Bronze,2010-06-21,Mobile App,Belgium
12403,CUST_12403,Female,26-35,Bronze,2009-05-16,Mobile App,Denmark
12405,CUST_12405,Male,18-25,Silver,2009-06-23,Mobile App,Finland
12406,CUST_12406,Male,65+,Bronze,2010-09-26,Mobile App,Denmark
12407,CUST_12407,Female,36-50,Bronze,2011-06-10,Desktop Web,Belgium
12408,CUST_12408,Male,36-50,Bronze,2010-03-20,Desktop Web,Belgium
12409,CUST_12409,Male,26-35,Silver,2009-01-28,Desktop Web,Switzerland
12410,CUST_12410,Male,26-35,Bronze,2010-03-11,Mobile App,Switzerland
12412,CUST_12412,Male,26-35,Silver,2010-02-08,Mobile App,Denmark
12413,CUST_12413,Male,18-25,Gold,2011-06-22,Mobile Web,France
12414,CUST_12414,Male,26-35,Bronze,2011-08-15,Mobile App,Austria
12415,CUST_12415,Female,36-50,Silver,2011-03-26,Desktop Web,Australia
12417,CUST_12417,Female,36-50,Platinum,2010-03-19,Desktop Web,Belgium
12418,CUST_12418,Female,36-50,Silver,2009-01-01,Mobile App,Switzerland
12420,CUST_12420,Female,26-35,Gold,2011-06-28,Mobile App,Cyprus
12421,CUST_12421,Female,51-65,Bronze,2009-01-29,Desktop Web,Spain
12422,CUST_12422,Female,18-25,Gold,2011-10-12,Mobile App,Australia
12423,CUST_12423,Male,26-35,Bronze,2010-10-27,Mobile App,Belgium
12424,CUST_12424,Female,26-35,Bronze,2009-11-21,Mobile App,Australia
12425,CUST_12425,Female,36-50,Bronze,2009-11-11,Mobile App,Portugal
12426,CUST_12426,Male,65+,Bronze,2010-12-27,Desktop Web,Germany
12427,CUST_12427,Female,26-35,Gold,2010-06-25,Mobile Web,Germany
12428,CUST_12428,Male,51-65,Bronze,2010-11-30,Mobile App,Finland
12429,CUST_12429,Female,51-65,Silver,2011-05-20,Mobile Web,Denmark
12430,CUST_12430,Non-Binary,26-35,Silver,2011-07-16,Tablet,Norway
12431,CUST_12431,Male,26-35,Silver,2010-02-05,Tablet,Australia
12432,CUST_12432,Female,26-35,Bronze,2009-10-16,Mobile Web,Norway
12433,CUST_12433,Female,65+,Silver,2011-09-23,Mobile App,Norway
12434,CUST_12434,Male,26-35,Bronze,2011-06-25,Mobile App,Australia
12435,CUST_12435,Male,36-50,Bronze,2010-07-18,Desktop Web,Denmark
12436,CUST_12436,Male,26-35,Platinum,2010-01-14,Desktop Web,Norway
12437,CUST_12437,Male,36-50,Bronze,2011-08-26,Mobile Web,France
12438,CUST_12438,Female,26-35,Bronze,2010-10-20,Tablet,Norway
12441,CUST_12441,Female,36-50,Gold,2011-01-11,Desktop Web,France
12442,CUST_12442,Female,51-65,Bronze,2009-09-26,Mobile App,Spain
12444,CUST_12444,Male,51-65,Silver,2011-09-14,Mobile App,Norway
12445,CUST_12445,Male,51-65,Bronze,2010-12-01,Mobile App,Spain
12446,CUST_12446,Female,18-25,Bronze,2011-07-05,Desktop Web,RSA
12447,CUST_12447,Female,36-50,Bronze,2009-12-20,Desktop Web,Belgium
12448,CUST_12448,Female,18-25,Bronze,2011-01-25,Mobile Web,Spain
12449,CUST_12449,Female,26-35,Bronze,2010-10-17,Desktop Web,Belgium
12450,CUST_12450,Male,36-50,Silver,2011-01-18,Mobile Web,Spain
12451,CUST_12451,Male,26-35,Silver,2010-10-08,Desktop Web,Switzerland
12452,CUST_12452,Male,36-50,Platinum,2009-03-25,Mobile Web,Switzerland
12453,CUST_12453,Female,65+,Bronze,2011-10-18,Mobile App,Austria
12454,CUST_12454,Female,18-25,Silver,2010-07-25,Mobile Web,Spain
12455,CUST_12455,Male,36-50,Silver,2010-04-30,Desktop Web,Spain
12456,CUST_12456,Male,26-35,Gold,2011-04-17,Mobile App,Switzerland
12457,CUST_12457,Male,18-25,Bronze,2009-06-10,Mobile App,Switzerland
12458,CUST_12458,Male,26-35,Silver,2010-04-30,Mobile Web,Switzerland
12461,CUST_12461,Female,51-65,Gold,2011-03-04,Mobile App,Switzerland
12462,CUST_12462,Male,51-65,Bronze,2011-04-29,Desktop Web,Spain
12463,CUST_12463,Female,51-65,Gold,2011-02-25,Mobile App,Belgium
12464,CUST_12464,Female,65+,Bronze,2009-09-13,Desktop Web,Belgium
12465,CUST_12465,Female,26-35,Silver,2010-08-26,Mobile Web,Belgium
12468,CUST_12468,Female,26-35,Platinum,2010-06-19,Mobile App,Germany
12471,CUST_12471,Male,36-50,Silver,2010-02-17,Mobile App,Germany
12472,CUST_12472,Female,26-35,Bronze,2009-06-30,Tablet,Germany
12473,CUST_12473,Female,26-35,Bronze,2009-09-17,Desktop Web,Germany
12474,CUST_12474,Male,26-35,Gold,2010-04-14,Mobile Web,Germany
12475,CUST_12475,Female,36-50,Silver,2009-05-15,Mobile App,Germany
12476,CUST_12476,Female,36-50,Bronze,2011-07-23,Mobile App,Germany
12477,CUST_12477,Male,26-35,Silver,2011-02-20,Mobile App,Germany
